,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-05-15,Cargo,6
1,Tanjung Pelepas Port,2020-05-29,Cargo,2
2,Tanjung Pelepas Port,2020-05-23,Tanker,4
3,Tanjung Pelepas Port,2020-05-06,Cargo,4
4,Tanjung Pelepas Port,2020-05-14,Cargo,2
5,Tanjung Pelepas Port,2020-05-28,Cargo,4
6,Tanjung Pelepas Port,2020-05-25,Cargo,4
7,Tanjung Pelepas Port,2020-05-06,Tanker,2
8,Tanjung Pelepas Port,2020-05-05,Cargo,4
9,Tanjung Pelepas Port,2020-05-27,Cargo,3
10,Tanjung Pelepas Port,2020-05-02,Cargo,4
11,Tanjung Pelepas Port,2020-05-26,Tanker,3
12,Tanjung Pelepas Port,2020-05-13,Cargo,3
13,Tanjung Pelepas Port,2020-05-23,Cargo,2
14,Tanjung Pelepas Port,2020-05-01,Tanker,2
15,Tanjung Pelepas Port,2020-05-13,Tanker,2
16,Tanjung Pelepas Port,2020-05-21,Tanker,2
17,Tanjung Pelepas Port,2020-05-14,Tanker,2
18,Tanjung Pelepas Port,2020-05-24,Tanker,4
19,Tanjung Pelepas Port,2020-05-16,Tanker,5
20,Tanjung Pelepas Port,2020-05-04,Tanker,3
21,Tanjung Pelepas Port,2020-05-11,Tanker,1
22,Tanjung Pelepas Port,2020-05-27,Tanker,3
23,Tanjung Pelepas Port,2020-05-12,Tanker,2
24,Tanjung Pelepas Port,2020-05-09,Tanker,1
25,Tanjung Pelepas Port,2020-05-22,Cargo,5
26,Tanjung Pelepas Port,2020-05-18,Tanker,2
27,Tanjung Pelepas Port,2020-05-01,Cargo,1
28,Tanjung Pelepas Port,2020-05-31,Tanker,6
29,Tanjung Pelepas Port,2020-05-10,Tanker,1
30,Tanjung Pelepas Port,2020-05-03,Tanker,2
31,Tanjung Pelepas Port,2020-05-24,Cargo,1
32,Tanjung Pelepas Port,2020-05-18,Cargo,2
33,Tanjung Pelepas Port,2020-05-15,Tanker,6
34,Tanjung Pelepas Port,2020-05-17,Tanker,3
35,Tanjung Pelepas Port,2020-05-11,Cargo,1
36,Tanjung Pelepas Port,2020-05-08,Cargo,4
37,Tanjung Pelepas Port,2020-05-07,Tanker,2
38,Tanjung Pelepas Port,2020-05-25,Tanker,1
39,Tanjung Pelepas Port,2020-05-19,Cargo,5
40,Tanjung Pelepas Port,2020-05-10,Cargo,2
41,Tanjung Pelepas Port,2020-05-21,Cargo,3
42,Tanjung Pelepas Port,2020-05-02,Tanker,2
43,Tanjung Pelepas Port,2020-05-09,Cargo,4
44,Tanjung Pelepas Port,2020-05-04,Cargo,5
45,Tanjung Pelepas Port,2020-05-19,Tanker,2
46,Tanjung Pelepas Port,2020-05-28,Tanker,2
47,Tanjung Pelepas Port,2020-05-26,Cargo,2
48,Tanjung Pelepas Port,2020-05-30,Cargo,3
49,Tanjung Pelepas Port,2020-05-29,Tanker,3
50,Tanjung Pelepas Port,2020-05-12,Cargo,2
51,Tanjung Pelepas Port,2020-05-20,Cargo,3
52,Tanjung Pelepas Port,2020-05-30,Tanker,2
53,Tanjung Pelepas Port,2020-05-08,Tanker,4
54,Tanjung Pelepas Port,2020-05-31,Cargo,2
55,Tanjung Pelepas Port,2020-05-16,Cargo,6
56,Tanjung Pelepas Port,2020-05-03,Cargo,2
57,Tanjung Pelepas Port,2020-05-07,Cargo,1
58,Tanjung Pelepas Port,2020-05-22,Tanker,4
